Phase1_Base,Phase2_Base,Phase1_Steer,Phase2_Steer
1.250292068055543382e+00,1.536024018735717922e+00,5.809870410127854212e-02,-3.245137794845696644e-01
2.414187482761903925e-01,-1.058802017983930144e+00,3.095034157772339478e-01,2.710033062933330239e-01
9.902664357705623366e-02,-1.000966541116666164e+00,-1.124619633329813212e-01,-6.174616677242509288e-01
1.389209482256492656e+00,-2.226644096592097721e+00,5.442978880815423359e-01,2.002768394897956883e-01
-7.652817929489436066e-01,-1.477295466357653742e-01,7.184992055985381931e-01,-1.448349031731557823e-01
3.432820097568934914e-01,5.732968816493616560e-01,2.528569641058229234e-01,-5.263356275589986533e-02
-7.752229589989023673e-02,2.922211588056888854e-01,-3.209013155323100358e-02,-2.246094689390111809e-01
-7.088048078318937018e-01,-1.308834826991410738e+00,4.318951950004683571e-01,-5.555525950436107641e-01
