Phase1_Base,Phase2_Base,Phase1_Steer,Phase2_Steer
1.246568000529130638e+00,-1.378422579323768549e+00,-6.171509994131794130e-01,2.567522706199607541e-01
2.281584184335491428e-01,1.324801528594384270e-01,1.162964039397134108e+00,-2.014406308424390724e-01
6.680967852238495208e-01,5.828226214748315481e-01,-3.266909587360313783e-01,-5.259262000356917932e-01
-4.497198566548344378e-01,-1.541010735918559305e-01,7.831665264383481651e-01,3.405629736418586129e-01
-6.931015146658382475e-01,-1.685703891387272391e-01,-4.182405402905011726e-01,-3.619694077003473565e-01
5.632549719848143344e-01,2.594209077023350019e-01,-2.580925445350832903e-01,-1.408384273929506880e-01
4.824699173883801318e-01,-7.764901019484525824e-01,2.340973771698275918e-01,-3.649214447313116685e-03
9.050203776718930282e-01,-2.795561238284989813e-01,-7.495512887683561387e-02,-5.493850128427154589e-01
