Phase1_Base,Phase2_Base,Phase1_Steer,Phase2_Steer
-9.769263220831539973e-01,-1.824531049488009593e+00,1.986807512129914188e-01,8.294716076925922055e-01
-9.132655599451484640e-01,1.456839642674371549e-01,-3.562708277021113257e-01,1.595797166636264919e+00
-7.319267671466324066e-01,7.233149845973162462e-01,2.536398357798408942e-01,7.049060190183282781e-01
9.755707909071436035e-01,-4.799805644296646356e-01,1.893049794669841579e-01,-4.569605479085831479e-01
-2.359834920369425215e-01,-2.175603200579168117e+00,-6.566548032404925239e-01,-2.424022680251266063e-02
-6.070123895082273346e-01,8.562813647878916301e-01,5.180559227169438952e-01,8.812752378805280840e-01
8.141801199235214614e-01,-1.768864663733286768e+00,4.833656619430656137e-02,5.852912942841039801e-01
3.852553816187647140e-01,1.965623345640664654e+00,-1.149628297639165631e+00,-1.382370131442871575e-01
